Alexander Eastley
Alfred Crackenthorpe
Alice Crackenthorpe
Anna Stravinska
Archibald Spate
Armand Dessin
Arthur McGillicuddy
Bob Wetherall
Bryan Eastley
Cedric Crackenthorpe
Chick Evans
Chief Inspector Duckham
Constable Sanders
Councillor Marchant
Darwin
David West
Dermot Craddock
Dicky Rogers
Dorothy Cartwright
Dr Morris (4.50 from Paddington)
Dr Quimper
Edith Eastley
Edmund Crackenthorpe
Edwards (4.50 from Paddington)
Elspeth McGillicuddy
Emma Crackenthorpe
Florence Hill
Francoise
Frank Cornish
Geraldine Webb
Griselda Clement
Harold Crackenthorpe
Hector (4.50 from Paddington)
Henry Clithering
Henry Crackenthorpe
Hillman
Inspector Awdry
Inspector Bacon
Inspector Slack
Inspector Tom Campbell
Jacqueline Briggs
James Stoddart-West
Jean (4.50 from Paddington)
Johnstone
Josiah Crackenthorpe
Lady Adington
Leonard Clement (4.50 from Paddington)
Louisa Felby
Lucy Eyelesbarrow
Luther Crackenthorpe
Madame Joilet
Margaret (4.50 from Paddington)
Martine Stoddart-West
Mary (4.50 from Paddington)
Miss Bartlett
Miss Ellis
Mr Eade
Mr Jenkins
Mr Wells
Mr Wimborne
Mrs Binster
Mrs Brierly
Mrs Brogan
Mrs Hart
Mrs Josh Simpkins
Mrs Josiah Crackenthorpe
Mrs Kidder
Mrs Luther Crackenthorpe
Noël Coward
Patmore
Robby (4.50 from Paddington)
Robert Stoddart-West
Roderick (4.50 from Paddington)
Ronnie Wells
Sergeant Leakie
Terry (4.50 from Paddington)
Thomas Eade
William Baker
Admiral Wicklow
Arthur Jackson
Aunty Johnson
Big Jim Ellis
Captain Flemming
Commander Richardson
Count de Ferrari
Diana Horrocks
Dr Graham (A Caribbean Mystery)
Dr Robertson
Edward Hillingdon
Enrico
Esther Walters
Evelyn Hillingdon
Fernando
Gail Dyson
General Leroy
Georgy Wood
Greg Dyson
Harry Western
Ian Fleming
Inspector Weston
James Bond (A Caribbean Mystery)
Jeremy Prescott
Joan Prescott
Joe Arden
Jonas Parry
Lady Caroline Wolfe
Leslie James
Lucky Dyson
Major Harper
Major Palgrave
Mama Zogbe
Marleen (A Caribbean Mystery)
Miguel (A Caribbean Mystery)
